count,command,pushing_to_server_required
3124,The Secret Service was already initialized,yes
3125,Accepted password for root from ,yes
3126,"apparmor=""DENIED""",yes
3127,"apparmor=""DENIED""",yes
3128,Changed attributes:,yes
3129,session opened,yes
3130,Changed attributes:,yes
3131,USER=root ; COMMAND=,yes
3132,Removed session,no
3133,"apparmor=""DENIED""",yes
3134,Registered Authentication Agent,yes
3135,session opened,yes
3136,Accepted password for root from ,yes
3137,Removed session,no
3138,is owned by root and has written permissions to anyone,yes
3139,"apparmor=""DENIED""",yes
3140,"apparmor=""DENIED""",yes
3141,Registered Authentication Agent,yes
3142,Accepted password for root from ,yes
3143,The Secret Service was already initialized,yes
3144,"apparmor=""DENIED""",yes
3145,Registered Authentication Agent,yes
3146,Registered Authentication Agent,yes
3147,Changed attributes:,yes
3148,Removed session,no
3149,Accepted password for root from ,yes
3150,"apparmor=""DENIED""",yes
3151,The SSH agent was already initialized,no
3152,Changed attributes:,yes
3153,"apparmor=""DENIED""",yes
3154,session opened,yes
3155,session opened,yes
3156,The Secret Service was already initialized,yes
3157,USER=root ; COMMAND=,yes
3158,Accepted password for root from ,yes
3159,Accepted password for root from ,yes
3160,The Secret Service was already initialized,yes
3161,"apparmor=""DENIED""",yes
3162,USER=root ; COMMAND=,yes
3163,Removed session,no
3164,session opened,yes
3165,Accepted password for root from ,yes
3166,Accepted password for root from ,yes
3167,The Secret Service was already initialized,yes
3168,USER=root ; COMMAND=,yes
3169,session opened,yes
3170,session opened,yes
3171,session closed,no
3172,"apparmor=""DENIED""",yes
3173,Accepted password for root from ,yes
3174,The SSH agent was already initialized,no
3175,The SSH agent was already initialized,no
3176,Removed session,no
3177,"apparmor=""DENIED""",yes
3178,Removed session,no
3179,"apparmor=""DENIED""",yes
3180,"apparmor=""DENIED""",yes
3181,Removed session,no
3182,Registered Authentication Agent,yes
3183,Changed attributes:,yes
3184,The SSH agent was already initialized,no
3185,session opened,yes
3186,Accepted password for root from ,yes
3187,"apparmor=""DENIED""",yes
3188,The SSH agent was already initialized,no
3189,USER=root ; COMMAND=,yes
3190,Changed attributes:,yes
3191,"apparmor=""DENIED""",yes
3192,Changed attributes:,yes
3193,Changed attributes:,yes
3194,session closed,no
3195,session closed,no
3196,"apparmor=""DENIED""",yes
3197,"apparmor=""DENIED""",yes
3198,is owned by root and has written permissions to anyone,yes
3199,USER=root ; COMMAND=,yes
3200,Accepted password for root from ,yes
3201,is owned by root and has written permissions to anyone,yes
3202,Accepted password for root from ,yes
3203,session opened,yes
3204,Registered Authentication Agent,yes
3205,Registered Authentication Agent,yes
3206,session opened,yes
3207,session closed,no
3208,session opened,yes
3209,USER=root ; COMMAND=,yes
3210,Removed session,no
3211,session opened,yes
3212,USER=root ; COMMAND=,yes
3213,"apparmor=""DENIED""",yes
3214,Accepted password for root from ,yes
3215,The Secret Service was already initialized,yes
3216,The Secret Service was already initialized,yes
3217,session opened,yes
3218,The SSH agent was already initialized,no
3219,The Secret Service was already initialized,yes
3220,The SSH agent was already initialized,no
3221,USER=root ; COMMAND=,yes
3222,The SSH agent was already initialized,no
3223,"apparmor=""DENIED""",yes
3224,session opened,yes
3225,is owned by root and has written permissions to anyone,yes
3226,"apparmor=""DENIED""",yes
3227,session opened,yes
3228,session closed,no
3229,session opened,yes
3230,session opened,yes
3231,Removed session,no
3232,session opened,yes
3233,Changed attributes:,yes
3234,The SSH agent was already initialized,no
3235,Removed session,no
3236,session closed,no
3237,Accepted password for root from ,yes
3238,Accepted password for root from ,yes
3239,Registered Authentication Agent,yes
3240,session opened,yes
3241,Accepted password for root from ,yes
3242,Accepted password for root from ,yes
3243,Registered Authentication Agent,yes
3244,session opened,yes
3245,"apparmor=""DENIED""",yes
3246,"apparmor=""DENIED""",yes
3247,"apparmor=""DENIED""",yes
3248,session opened,yes
3249,The Secret Service was already initialized,yes
3250,Removed session,no
3251,USER=root ; COMMAND=,yes
3252,Accepted password for root from ,yes
3253,Accepted password for root from ,yes
3254,USER=root ; COMMAND=,yes
3255,Accepted password for root from ,yes
3256,Accepted password for root from ,yes
3257,USER=root ; COMMAND=,yes
3258,Changed attributes:,yes
3259,Changed attributes:,yes
3260,Registered Authentication Agent,yes
3261,Registered Authentication Agent,yes
3262,session closed,no
3263,Accepted password for root from ,yes
3264,Changed attributes:,yes
3265,Accepted password for root from ,yes
3266,session opened,yes
3267,Removed session,no
3268,The SSH agent was already initialized,no
3269,session opened,yes
3270,"apparmor=""DENIED""",yes
3271,Removed session,no
3272,"apparmor=""DENIED""",yes
3273,is owned by root and has written permissions to anyone,yes
3274,Removed session,no
3275,session closed,no
3276,session opened,yes
3277,Accepted password for root from ,yes
3278,Accepted password for root from ,yes
3279,Changed attributes:,yes
3280,session opened,yes
3281,session opened,yes
3282,Changed attributes:,yes
3283,"apparmor=""DENIED""",yes
3284,"apparmor=""DENIED""",yes
3285,The SSH agent was already initialized,no
3286,is owned by root and has written permissions to anyone,yes
3287,session closed,no
3288,session opened,yes
3289,session closed,no
3290,Changed attributes:,yes
3291,session closed,no
3292,is owned by root and has written permissions to anyone,yes
3293,Accepted password for root from ,yes
3294,Accepted password for root from ,yes
3295,Registered Authentication Agent,yes
3296,Removed session,no
3297,Registered Authentication Agent,yes
3298,session opened,yes
3299,is owned by root and has written permissions to anyone,yes
3300,"apparmor=""DENIED""",yes
3301,session opened,yes
3302,"apparmor=""DENIED""",yes
3303,session opened,yes
3304,"apparmor=""DENIED""",yes
3305,session closed,no
3306,Accepted password for root from ,yes
3307,USER=root ; COMMAND=,yes
3308,"apparmor=""DENIED""",yes
3309,Registered Authentication Agent,yes
3310,session opened,yes
3311,USER=root ; COMMAND=,yes
3312,is owned by root and has written permissions to anyone,yes
3313,session opened,yes
3314,The Secret Service was already initialized,yes
3315,is owned by root and has written permissions to anyone,yes
3316,Accepted password for root from ,yes
3317,"apparmor=""DENIED""",yes
3318,Changed attributes:,yes
3319,Changed attributes:,yes
3320,The SSH agent was already initialized,no
3321,The SSH agent was already initialized,no
3322,"apparmor=""DENIED""",yes
3323,Removed session,no
3324,Accepted password for root from ,yes
3325,"apparmor=""DENIED""",yes
3326,USER=root ; COMMAND=,yes
3327,session opened,yes
3328,session opened,yes
3329,The Secret Service was already initialized,yes
3330,Registered Authentication Agent,yes
3331,"apparmor=""DENIED""",yes
3332,"apparmor=""DENIED""",yes
3333,Registered Authentication Agent,yes
3334,is owned by root and has written permissions to anyone,yes
3335,"apparmor=""DENIED""",yes
3336,The SSH agent was already initialized,no
3337,Accepted password for root from ,yes
3338,The SSH agent was already initialized,no
3339,Accepted password for root from ,yes
3340,Accepted password for root from ,yes
3341,The Secret Service was already initialized,yes
3342,USER=root ; COMMAND=,yes
3343,The Secret Service was already initialized,yes
3344,Removed session,no
3345,session opened,yes
3346,"apparmor=""DENIED""",yes
3347,Removed session,no
3348,Accepted password for root from ,yes
3349,Changed attributes:,yes
3350,"apparmor=""DENIED""",yes
3351,session closed,no
3352,Registered Authentication Agent,yes
3353,Changed attributes:,yes
3354,Registered Authentication Agent,yes
3355,Changed attributes:,yes
3356,Accepted password for root from ,yes
3357,session opened,yes
3358,Changed attributes:,yes
3359,Changed attributes:,yes
3360,session closed,no
3361,The Secret Service was already initialized,yes
3362,Changed attributes:,yes
3363,"apparmor=""DENIED""",yes
3364,is owned by root and has written permissions to anyone,yes
3365,USER=root ; COMMAND=,yes
3366,The SSH agent was already initialized,no
3367,Changed attributes:,yes
3368,Accepted password for root from ,yes
3369,Accepted password for root from ,yes
3370,The Secret Service was already initialized,yes
3371,The Secret Service was already initialized,yes
3372,"apparmor=""DENIED""",yes
3373,USER=root ; COMMAND=,yes
3374,Registered Authentication Agent,yes
3375,session closed,no
3376,Changed attributes:,yes
3377,"apparmor=""DENIED""",yes
3378,Removed session,no
3379,Changed attributes:,yes
3380,Accepted password for root from ,yes
3381,The SSH agent was already initialized,no
3382,is owned by root and has written permissions to anyone,yes
3383,session opened,yes
3384,The Secret Service was already initialized,yes
3385,session opened,yes
3386,"apparmor=""DENIED""",yes
3387,Accepted password for root from ,yes
3388,session closed,no
3389,Accepted password for root from ,yes
3390,session closed,no
3391,session opened,yes
3392,USER=root ; COMMAND=,yes
3393,"apparmor=""DENIED""",yes
3394,"apparmor=""DENIED""",yes
3395,The SSH agent was already initialized,no
3396,session opened,yes
3397,Changed attributes:,yes
3398,session opened,yes
3399,session opened,yes
3400,USER=root ; COMMAND=,yes
3401,session opened,yes
3402,"apparmor=""DENIED""",yes
3403,Changed attributes:,yes
3404,"apparmor=""DENIED""",yes
3405,USER=root ; COMMAND=,yes
3406,"apparmor=""DENIED""",yes
3407,The SSH agent was already initialized,no
3408,is owned by root and has written permissions to anyone,yes
3409,Changed attributes:,yes
3410,"apparmor=""DENIED""",yes
3411,session opened,yes
3412,The SSH agent was already initialized,no
3413,"apparmor=""DENIED""",yes
3414,USER=root ; COMMAND=,yes
3415,"apparmor=""DENIED""",yes
3416,"apparmor=""DENIED""",yes
3417,session opened,yes
3418,is owned by root and has written permissions to anyone,yes
3419,Changed attributes:,yes
3420,Changed attributes:,yes
3421,Removed session,no
3422,Removed session,no
3423,The SSH agent was already initialized,no
3424,Removed session,no
3425,Changed attributes:,yes
3426,Removed session,no
3427,The SSH agent was already initialized,no
3428,"apparmor=""DENIED""",yes
3429,The SSH agent was already initialized,no
3430,The SSH agent was already initialized,no
3431,Removed session,no
3432,Changed attributes:,yes
3433,Changed attributes:,yes
3434,USER=root ; COMMAND=,yes
3435,Accepted password for root from ,yes
3436,Registered Authentication Agent,yes
3437,Accepted password for root from ,yes
3438,The SSH agent was already initialized,no
3439,Changed attributes:,yes
3440,Removed session,no
3441,Registered Authentication Agent,yes
3442,Removed session,no
3443,Removed session,no
3444,The SSH agent was already initialized,no
3445,Accepted password for root from ,yes
3446,USER=root ; COMMAND=,yes
3447,Accepted password for root from ,yes
3448,"apparmor=""DENIED""",yes
3449,"apparmor=""DENIED""",yes
3450,"apparmor=""DENIED""",yes
3451,Removed session,no
3452,"apparmor=""DENIED""",yes
3453,session opened,yes
3454,"apparmor=""DENIED""",yes
3455,The Secret Service was already initialized,yes
3456,session closed,no
3457,The Secret Service was already initialized,yes
3458,Accepted password for root from ,yes
3459,Registered Authentication Agent,yes
3460,Removed session,no
3461,Changed attributes:,yes
3462,Registered Authentication Agent,yes
3463,"apparmor=""DENIED""",yes
3464,session closed,no
3465,Accepted password for root from ,yes
3466,USER=root ; COMMAND=,yes
3467,The SSH agent was already initialized,no
3468,session opened,yes
3469,"apparmor=""DENIED""",yes
3470,The Secret Service was already initialized,yes
3471,Changed attributes:,yes
3472,Accepted password for root from ,yes
3473,"apparmor=""DENIED""",yes
3474,session opened,yes
3475,The Secret Service was already initialized,yes
3476,Accepted password for root from ,yes
3477,Accepted password for root from ,yes
3478,USER=root ; COMMAND=,yes
3479,"apparmor=""DENIED""",yes
3480,Removed session,no
3481,The Secret Service was already initialized,yes
3482,"apparmor=""DENIED""",yes
3483,Changed attributes:,yes
3484,The SSH agent was already initialized,no
3485,Accepted password for root from ,yes
3486,Accepted password for root from ,yes
3487,Registered Authentication Agent,yes
3488,Accepted password for root from ,yes
3489,Registered Authentication Agent,yes
3490,Removed session,no
3491,Removed session,no
3492,"apparmor=""DENIED""",yes
3493,is owned by root and has written permissions to anyone,yes
3494,Accepted password for root from ,yes
3495,USER=root ; COMMAND=,yes
3496,session opened,yes
3497,Removed session,no
3498,"apparmor=""DENIED""",yes
3499,Accepted password for root from ,yes
3500,The SSH agent was already initialized,no
3501,Accepted password for root from ,yes
3502,is owned by root and has written permissions to anyone,yes
3503,The Secret Service was already initialized,yes
3504,Removed session,no
3505,Removed session,no
3506,Changed attributes:,yes
3507,"apparmor=""DENIED""",yes
3508,Accepted password for root from ,yes
3509,Changed attributes:,yes
3510,session closed,no
3511,Removed session,no
3512,Changed attributes:,yes
3513,is owned by root and has written permissions to anyone,yes
3514,Removed session,no
3515,The SSH agent was already initialized,no
3516,Changed attributes:,yes
3517,Changed attributes:,yes
3518,"apparmor=""DENIED""",yes
3519,Removed session,no
3520,Accepted password for root from ,yes
3521,session closed,no
3522,Accepted password for root from ,yes
3523,Removed session,no
3524,is owned by root and has written permissions to anyone,yes
3525,session opened,yes
3526,session opened,yes
3527,Accepted password for root from ,yes
3528,"apparmor=""DENIED""",yes
3529,session opened,yes
3530,session closed,no
3531,Changed attributes:,yes
3532,Accepted password for root from ,yes
3533,"apparmor=""DENIED""",yes
3534,"apparmor=""DENIED""",yes
3535,The Secret Service was already initialized,yes
3536,Changed attributes:,yes
3537,Accepted password for root from ,yes
3538,"apparmor=""DENIED""",yes
3539,USER=root ; COMMAND=,yes
3540,session opened,yes
3541,"apparmor=""DENIED""",yes
3542,Changed attributes:,yes
3543,Changed attributes:,yes
3544,session opened,yes
3545,"apparmor=""DENIED""",yes
3546,"apparmor=""DENIED""",yes
3547,The SSH agent was already initialized,no
3548,Changed attributes:,yes
3549,Removed session,no
3550,is owned by root and has written permissions to anyone,yes
3551,The SSH agent was already initialized,no
3552,session opened,yes
3553,Removed session,no
3554,The SSH agent was already initialized,no
3555,USER=root ; COMMAND=,yes
3556,session opened,yes
3557,Accepted password for root from ,yes
3558,Removed session,no
3559,Removed session,no
3560,session opened,yes
3561,The SSH agent was already initialized,no
3562,session opened,yes
3563,Accepted password for root from ,yes
3564,session closed,no
3565,Removed session,no
3566,Changed attributes:,yes
3567,session opened,yes
3568,The Secret Service was already initialized,yes
3569,Changed attributes:,yes
3570,Removed session,no
3571,USER=root ; COMMAND=,yes
3572,Changed attributes:,yes
3573,Removed session,no
3574,session opened,yes
3575,Accepted password for root from ,yes
3576,"apparmor=""DENIED""",yes
3577,"apparmor=""DENIED""",yes
3578,"apparmor=""DENIED""",yes
3579,Removed session,no
3580,is owned by root and has written permissions to anyone,yes
3581,Accepted password for root from ,yes
3582,"apparmor=""DENIED""",yes
3583,"apparmor=""DENIED""",yes
3584,USER=root ; COMMAND=,yes
3585,Changed attributes:,yes
3586,Registered Authentication Agent,yes
3587,The SSH agent was already initialized,no
3588,Removed session,no
3589,"apparmor=""DENIED""",yes
3590,The SSH agent was already initialized,no
3591,Removed session,no
3592,The Secret Service was already initialized,yes
3593,Accepted password for root from ,yes
3594,Removed session,no
3595,The SSH agent was already initialized,no
3596,Accepted password for root from ,yes
3597,Accepted password for root from ,yes
3598,Changed attributes:,yes
3599,Changed attributes:,yes
3600,The SSH agent was already initialized,no
3601,Accepted password for root from ,yes
3602,Changed attributes:,yes
3603,"apparmor=""DENIED""",yes
3604,session closed,no
3605,Accepted password for root from ,yes
3606,Removed session,no
3607,session closed,no
3608,Removed session,no
3609,session opened,yes
3610,USER=root ; COMMAND=,yes
3611,Changed attributes:,yes
3612,Changed attributes:,yes
3613,Changed attributes:,yes
3614,"apparmor=""DENIED""",yes
3615,Changed attributes:,yes
3616,session opened,yes
3617,Accepted password for root from ,yes
3618,Accepted password for root from ,yes
3619,Registered Authentication Agent,yes
3620,The Secret Service was already initialized,yes
3621,USER=root ; COMMAND=,yes
3622,Changed attributes:,yes
3623,"apparmor=""DENIED""",yes
3624,session opened,yes
3625,Changed attributes:,yes
3626,Changed attributes:,yes
3627,Changed attributes:,yes
3628,session opened,yes
3629,Removed session,no
3630,The SSH agent was already initialized,no
3631,USER=root ; COMMAND=,yes
3632,Removed session,no
3633,The SSH agent was already initialized,no
3634,session opened,yes
3635,Accepted password for root from ,yes
3636,Changed attributes:,yes
3637,Removed session,no
3638,Accepted password for root from ,yes
3639,Changed attributes:,yes
3640,The Secret Service was already initialized,yes
3641,Removed session,no
3642,is owned by root and has written permissions to anyone,yes
3643,"apparmor=""DENIED""",yes
3644,Changed attributes:,yes
3645,is owned by root and has written permissions to anyone,yes
3646,is owned by root and has written permissions to anyone,yes
3647,The SSH agent was already initialized,no
3648,Removed session,no
3649,The SSH agent was already initialized,no
3650,session opened,yes
3651,Removed session,no
3652,"apparmor=""DENIED""",yes
3653,Removed session,no
3654,session opened,yes
3655,session closed,no
3656,is owned by root and has written permissions to anyone,yes
3657,Changed attributes:,yes
3658,session closed,no
3659,session closed,no
3660,Removed session,no
3661,Registered Authentication Agent,yes
3662,Accepted password for root from ,yes
3663,Accepted password for root from ,yes
3664,USER=root ; COMMAND=,yes
3665,USER=root ; COMMAND=,yes
3666,is owned by root and has written permissions to anyone,yes
3667,The Secret Service was already initialized,yes
3668,"apparmor=""DENIED""",yes
3669,is owned by root and has written permissions to anyone,yes
3670,Changed attributes:,yes
3671,The Secret Service was already initialized,yes
3672,Removed session,no
3673,session closed,no
3674,Accepted password for root from ,yes
3675,Changed attributes:,yes
3676,session closed,no
3677,Registered Authentication Agent,yes
3678,is owned by root and has written permissions to anyone,yes
3679,Changed attributes:,yes
3680,is owned by root and has written permissions to anyone,yes
3681,The SSH agent was already initialized,no
3682,Removed session,no
3683,The SSH agent was already initialized,no
3684,is owned by root and has written permissions to anyone,yes
3685,session closed,no
3686,is owned by root and has written permissions to anyone,yes
3687,Registered Authentication Agent,yes
3688,"apparmor=""DENIED""",yes
3689,is owned by root and has written permissions to anyone,yes
3690,Accepted password for root from ,yes
3691,The SSH agent was already initialized,no
3692,session closed,no
3693,session closed,no
3694,session opened,yes
3695,"apparmor=""DENIED""",yes
3696,Changed attributes:,yes
3697,Changed attributes:,yes
3698,The Secret Service was already initialized,yes
3699,USER=root ; COMMAND=,yes
3700,is owned by root and has written permissions to anyone,yes
3701,Changed attributes:,yes
3702,"apparmor=""DENIED""",yes
3703,"apparmor=""DENIED""",yes
3704,Accepted password for root from ,yes
3705,Accepted password for root from ,yes
3706,The Secret Service was already initialized,yes
3707,Changed attributes:,yes
3708,Accepted password for root from ,yes
3709,session opened,yes
3710,Changed attributes:,yes
3711,Changed attributes:,yes
3712,Removed session,no
3713,Accepted password for root from ,yes
3714,Accepted password for root from ,yes
3715,Accepted password for root from ,yes
3716,"apparmor=""DENIED""",yes
3717,Changed attributes:,yes
3718,"apparmor=""DENIED""",yes
3719,Changed attributes:,yes
3720,Changed attributes:,yes
3721,USER=root ; COMMAND=,yes
3722,"apparmor=""DENIED""",yes
3723,Removed session,no
3724,The Secret Service was already initialized,yes
3725,session opened,yes
3726,Accepted password for root from ,yes
3727,session closed,no
3728,USER=root ; COMMAND=,yes
3729,The Secret Service was already initialized,yes
3730,Accepted password for root from ,yes
3731,Changed attributes:,yes
3732,Accepted password for root from ,yes
3733,Accepted password for root from ,yes
3734,Removed session,no
3735,session opened,yes
3736,The SSH agent was already initialized,no
3737,session opened,yes
3738,USER=root ; COMMAND=,yes
3739,Changed attributes:,yes
3740,Changed attributes:,yes
3741,"apparmor=""DENIED""",yes
3742,session opened,yes
3743,Accepted password for root from ,yes
3744,Removed session,no
3745,session closed,no
3746,is owned by root and has written permissions to anyone,yes
3747,Removed session,no
3748,Changed attributes:,yes
3749,Changed attributes:,yes
3750,Changed attributes:,yes
3751,Changed attributes:,yes
3752,USER=root ; COMMAND=,yes
3753,"apparmor=""DENIED""",yes
3754,Accepted password for root from ,yes
3755,Accepted password for root from ,yes
3756,Changed attributes:,yes
3757,USER=root ; COMMAND=,yes
3758,Changed attributes:,yes
3759,The Secret Service was already initialized,yes
3760,"apparmor=""DENIED""",yes
3761,session closed,no
3762,Changed attributes:,yes
3763,The Secret Service was already initialized,yes
3764,Removed session,no
3765,session closed,no
3766,session opened,yes
3767,Changed attributes:,yes
3768,USER=root ; COMMAND=,yes
3769,session opened,yes
3770,USER=root ; COMMAND=,yes
3771,session opened,yes
3772,Changed attributes:,yes
3773,Registered Authentication Agent,yes
3774,Accepted password for root from ,yes
3775,session opened,yes
3776,Removed session,no
3777,The Secret Service was already initialized,yes
3778,Accepted password for root from ,yes
3779,Changed attributes:,yes
3780,Accepted password for root from ,yes
3781,is owned by root and has written permissions to anyone,yes
3782,session closed,no
3783,Changed attributes:,yes
3784,session closed,no
3785,Registered Authentication Agent,yes
3786,Changed attributes:,yes
3787,Registered Authentication Agent,yes
3788,"apparmor=""DENIED""",yes
3789,USER=root ; COMMAND=,yes
3790,Registered Authentication Agent,yes
3791,The SSH agent was already initialized,no
3792,is owned by root and has written permissions to anyone,yes
3793,The SSH agent was already initialized,no
3794,Changed attributes:,yes
3795,Registered Authentication Agent,yes
3796,session closed,no
3797,is owned by root and has written permissions to anyone,yes
3798,"apparmor=""DENIED""",yes
3799,Changed attributes:,yes
3800,session opened,yes
3801,session opened,yes
3802,Accepted password for root from ,yes
3803,Removed session,no
3804,session closed,no
3805,session opened,yes
3806,session closed,no
3807,is owned by root and has written permissions to anyone,yes
3808,Accepted password for root from ,yes
3809,session opened,yes
3810,Accepted password for root from ,yes
3811,The Secret Service was already initialized,yes
3812,Removed session,no
3813,"apparmor=""DENIED""",yes
3814,"apparmor=""DENIED""",yes
3815,Changed attributes:,yes
3816,The SSH agent was already initialized,no
3817,Removed session,no
3818,session closed,no
3819,The Secret Service was already initialized,yes
3820,Accepted password for root from ,yes
3821,Removed session,no
3822,Changed attributes:,yes
3823,The SSH agent was already initialized,no
3824,Changed attributes:,yes
3825,"apparmor=""DENIED""",yes
3826,"apparmor=""DENIED""",yes
3827,"apparmor=""DENIED""",yes
3828,"apparmor=""DENIED""",yes
3829,Accepted password for root from ,yes
3830,session closed,no
3831,Registered Authentication Agent,yes
3832,session closed,no
3833,Removed session,no
3834,Removed session,no
3835,Accepted password for root from ,yes
3836,is owned by root and has written permissions to anyone,yes
3837,"apparmor=""DENIED""",yes
3838,is owned by root and has written permissions to anyone,yes
3839,Accepted password for root from ,yes
3840,session closed,no
3841,The SSH agent was already initialized,no
3842,Removed session,no
3843,is owned by root and has written permissions to anyone,yes
3844,Changed attributes:,yes
3845,Removed session,no
3846,is owned by root and has written permissions to anyone,yes
3847,"apparmor=""DENIED""",yes
3848,Removed session,no
3849,Accepted password for root from ,yes
3850,session opened,yes
3851,The Secret Service was already initialized,yes
3852,Changed attributes:,yes
3853,is owned by root and has written permissions to anyone,yes
3854,Removed session,no
3855,is owned by root and has written permissions to anyone,yes
3856,The Secret Service was already initialized,yes
3857,session closed,no
3858,session opened,yes
3859,Changed attributes:,yes
3860,Removed session,no
3861,Changed attributes:,yes
3862,The Secret Service was already initialized,yes
3863,session opened,yes
3864,Accepted password for root from ,yes
3865,"apparmor=""DENIED""",yes
3866,The Secret Service was already initialized,yes
3867,"apparmor=""DENIED""",yes
3868,Registered Authentication Agent,yes
3869,Removed session,no
3870,Removed session,no
3871,"apparmor=""DENIED""",yes
3872,is owned by root and has written permissions to anyone,yes
3873,The SSH agent was already initialized,no
3874,Changed attributes:,yes
3875,"apparmor=""DENIED""",yes
3876,session opened,yes
3877,session opened,yes
3878,is owned by root and has written permissions to anyone,yes
3879,The SSH agent was already initialized,no
3880,"apparmor=""DENIED""",yes
3881,Accepted password for root from ,yes
3882,Accepted password for root from ,yes
3883,Accepted password for root from ,yes
3884,Accepted password for root from ,yes
3885,Registered Authentication Agent,yes
3886,The Secret Service was already initialized,yes
3887,session opened,yes
3888,The Secret Service was already initialized,yes
3889,Changed attributes:,yes
3890,The SSH agent was already initialized,no
3891,is owned by root and has written permissions to anyone,yes
3892,session closed,no
3893,session closed,no
3894,"apparmor=""DENIED""",yes
3895,is owned by root and has written permissions to anyone,yes
3896,Removed session,no
3897,is owned by root and has written permissions to anyone,yes
3898,is owned by root and has written permissions to anyone,yes
3899,session closed,no
3900,session closed,no
3901,Removed session,no
3902,The Secret Service was already initialized,yes
3903,session opened,yes
3904,The Secret Service was already initialized,yes
3905,session opened,yes
3906,Removed session,no
3907,session opened,yes
3908,Changed attributes:,yes
3909,"apparmor=""DENIED""",yes
3910,Removed session,no
3911,Registered Authentication Agent,yes
3912,session closed,no
3913,"apparmor=""DENIED""",yes
3914,is owned by root and has written permissions to anyone,yes
3915,Removed session,no
3916,"apparmor=""DENIED""",yes
3917,session closed,no
3918,is owned by root and has written permissions to anyone,yes
3919,Removed session,no
3920,is owned by root and has written permissions to anyone,yes
3921,session opened,yes
3922,Accepted password for root from ,yes
3923,session closed,no
3924,Removed session,no
3925,"apparmor=""DENIED""",yes
3926,The SSH agent was already initialized,no
3927,Removed session,no
3928,Registered Authentication Agent,yes
3929,USER=root ; COMMAND=,yes
3930,Accepted password for root from ,yes
3931,"apparmor=""DENIED""",yes
3932,The Secret Service was already initialized,yes
3933,is owned by root and has written permissions to anyone,yes
3934,USER=root ; COMMAND=,yes
3935,Removed session,no
3936,"apparmor=""DENIED""",yes
3937,"apparmor=""DENIED""",yes
3938,Removed session,no
3939,session opened,yes
3940,is owned by root and has written permissions to anyone,yes
3941,"apparmor=""DENIED""",yes
3942,Changed attributes:,yes
3943,session opened,yes
3944,is owned by root and has written permissions to anyone,yes
3945,Accepted password for root from ,yes
3946,Removed session,no
3947,Registered Authentication Agent,yes
3948,session closed,no
3949,Changed attributes:,yes
3950,session opened,yes
3951,"apparmor=""DENIED""",yes
3952,session opened,yes
3953,Changed attributes:,yes
3954,Accepted password for root from ,yes
3955,Accepted password for root from ,yes
3956,session opened,yes
3957,USER=root ; COMMAND=,yes
3958,Changed attributes:,yes
3959,The SSH agent was already initialized,no
3960,USER=root ; COMMAND=,yes
3961,The SSH agent was already initialized,no
3962,The Secret Service was already initialized,yes
3963,session opened,yes
3964,USER=root ; COMMAND=,yes
3965,session closed,no
3966,session opened,yes
3967,Registered Authentication Agent,yes
3968,is owned by root and has written permissions to anyone,yes
3969,The SSH agent was already initialized,no
3970,Removed session,no
3971,Registered Authentication Agent,yes
3972,session opened,yes
3973,session opened,yes
3974,Changed attributes:,yes
3975,session opened,yes
3976,Removed session,no
3977,"apparmor=""DENIED""",yes
3978,"apparmor=""DENIED""",yes
3979,Removed session,no
3980,session closed,no
3981,"apparmor=""DENIED""",yes
3982,Registered Authentication Agent,yes
3983,is owned by root and has written permissions to anyone,yes
3984,Changed attributes:,yes
3985,Removed session,no
3986,The Secret Service was already initialized,yes
3987,"apparmor=""DENIED""",yes
3988,Registered Authentication Agent,yes
3989,Accepted password for root from ,yes
3990,Changed attributes:,yes
3991,The Secret Service was already initialized,yes
3992,"apparmor=""DENIED""",yes
3993,Removed session,no
3994,session opened,yes
3995,"apparmor=""DENIED""",yes
3996,Removed session,no
3997,is owned by root and has written permissions to anyone,yes
3998,"apparmor=""DENIED""",yes
3999,"apparmor=""DENIED""",yes
4000,The SSH agent was already initialized,no
4001,The SSH agent was already initialized,no
4002,USER=root ; COMMAND=,yes
4003,"apparmor=""DENIED""",yes
4004,Accepted password for root from ,yes
4005,USER=root ; COMMAND=,yes
4006,The SSH agent was already initialized,no
4007,session opened,yes
4008,Changed attributes:,yes
4009,Registered Authentication Agent,yes
4010,Accepted password for root from ,yes
4011,session opened,yes
4012,"apparmor=""DENIED""",yes
4013,session opened,yes
4014,Removed session,no
4015,USER=root ; COMMAND=,yes
4016,Changed attributes:,yes
4017,is owned by root and has written permissions to anyone,yes
4018,The Secret Service was already initialized,yes
4019,is owned by root and has written permissions to anyone,yes
4020,session opened,yes
4021,USER=root ; COMMAND=,yes
4022,Changed attributes:,yes
4023,Changed attributes:,yes
4024,Accepted password for root from ,yes
4025,session closed,no
4026,Removed session,no
4027,session opened,yes
4028,Accepted password for root from ,yes
4029,Removed session,no
4030,"apparmor=""DENIED""",yes
4031,USER=root ; COMMAND=,yes
4032,session opened,yes
4033,Removed session,no
4034,"apparmor=""DENIED""",yes
4035,"apparmor=""DENIED""",yes
4036,session opened,yes
4037,The Secret Service was already initialized,yes
4038,session opened,yes
4039,USER=root ; COMMAND=,yes
4040,is owned by root and has written permissions to anyone,yes
4041,session opened,yes
4042,session closed,no
4043,session opened,yes
4044,session opened,yes
4045,Removed session,no
4046,"apparmor=""DENIED""",yes
